energy,x,decayTime
40.7500423872, 99.2306445902, 1250.0
13.7909803912, 161.821429791, 3750.0
9.91512725378, 88.5554889899, 6250.0
16.6417999619, 277.212814852, 8750.0
27.3190105821, 217.866662117, 11250.0
23.1236890072, 215.813602922, 13750.0
18.7086281104, 223.544745858, 16250.0
17.1362662122, 207.247467511, 18750.0
36.8445741906, 341.552919708, 21250.0
12.0205814473, 61.2603639024, 23750.0
22.2202285113, 170.49271932, 26250.0
20.4773418755, 323.907626422, 28750.0
20.3587309662, 253.086837681, 31250.0
13.1437763305, 25.6066214787, 33750.0
11.6795655586, 114.964517826, 36250.0
18.1698178782, 209.945006877, 38750.0
17.1525769207, 164.051205994, 41250.0
15.8945429068, 187.182604133, 43750.0
17.4783009168, 251.093462899, 46250.0
16.8658997141, 244.882691609, 48750.0
18.4683873483, 38.3362168882, 51250.0
9.03587402689, 114.483862544, 53750.0
12.1422103791, 314.185890891, 56250.0
19.3569642736, 131.498885353, 58750.0
7.47354694288, 337.236010387, 61250.0
25.7308170167, 14.6399546149, 63750.0
39.0704012105, 275.092734707, 66250.0
10.6495399376, 198.006505614, 68750.0
16.8634090512, 274.334615203, 71250.0
17.3433869449, 96.8516716161, 73750.0
18.7475206752, 83.264942942, 76250.0
23.8990237405, 177.497611621, 78750.0
6.73039803375, 188.789687458, 81250.0
14.8226939378, 199.549979416, 83750.0
6.18847874057, 224.048993143, 86250.0
15.9161428577, 116.759398416, 88750.0
25.7760338293, 256.368102374, 91250.0
3.049820727, 154.131532446, 93750.0
15.3584418646, 324.568585203, 96250.0
28.7536260311, 187.52375867, 98750.0
14.9990598846, 22.8100759129, 101250.0
22.77048407, 129.241185856, 103750.0
30.5146937211, 193.748885046, 106250.0
14.6618397639, 135.765944941, 108750.0
27.0991728393, 141.193181767, 111250.0
20.1280834276, 196.567819613, 113750.0
6.89219228685, 360.239234852, 116250.0
10.463588616, 99.0876540092, 118750.0
5.29643696062, 132.506932239, 121250.0
25.0491799148, 356.105179855, 123750.0
18.4516866331, 338.019802679, 126250.0
18.3245361223, 233.716769398, 128750.0
14.1514026201, 241.839716387, 131250.0
4.71314736388, 160.082977277, 133750.0
23.4878961824, 53.1106512556, 136250.0
19.128013953, 97.1852158424, 138750.0
14.9417925944, 93.2478907635, 141250.0
19.3867370359, 190.634804728, 143750.0
14.2289537777, 47.5682532825, 146250.0
19.7044824138, 53.4258894776, 148750.0
8.49926519657, 254.921732749, 151250.0
32.7740233002, 242.380691486, 153750.0
12.7804002598, 336.19098238, 156250.0
40.569419286, 75.6557946943, 158750.0
28.9121316602, 205.102490855, 161250.0
27.6605300539, 310.494787036, 163750.0
21.785837175, 84.8273050587, 166250.0
10.7492399572, 143.059093484, 168750.0
24.46209141, 29.7311226372, 171250.0
24.8483016877, 179.46884019, 173750.0
13.6960723207, 288.636866353, 176250.0
17.4196250418, 248.194699179, 178750.0
10.9687868726, 228.147167781, 181250.0
15.4498446782, 139.863209004, 183750.0
20.3844292753, 227.607433493, 186250.0
33.1300714378, 215.981270734, 188750.0
7.19583778297, 166.414104484, 191250.0
25.0120909229, 295.017299858, 193750.0
38.564210301, 252.912584294, 196250.0
35.247550393, 137.900912842, 198750.0
21.1032057099, 191.540581269, 201250.0
47.8799205515, 87.7990624197, 203750.0
12.3817952634, 260.042075037, 206250.0
6.9522522398, 76.1135403891, 208750.0
34.005306748, 40.1141389662, 211250.0
5.58664550185, 344.759950361, 213750.0
18.6263400077, 171.597442013, 216250.0
19.298315136, 28.9389628253, 218750.0
37.8262062261, 232.657861359, 221250.0
30.438938986, 179.346610194, 223750.0
24.3739892044, 20.7256431214, 226250.0
19.2513011277, 201.995122272, 228750.0
16.8741734529, 138.93448663, 231250.0
17.4672091709, 105.756453971, 233750.0
13.7181473568, 198.445442389, 236250.0
26.6040734117, 34.48875002, 238750.0
16.5481903675, 335.810113767, 241250.0
26.6959451598, 208.015710589, 243750.0
24.5752425094, 343.983677889, 246250.0
24.1715420034, 221.343915711, 248750.0
18.0405351421, 147.703510398, 251250.0
9.76795700957, 108.411007555, 253750.0
8.24721763433, 48.8047098387, 256250.0
9.90332197666, 84.8333664313, 258750.0
16.0438174473, 319.387003728, 261250.0
19.5306365501, 28.0101349202, 263750.0
26.9298635938, 179.238518798, 266250.0
21.7887208302, 341.81139329, 268750.0
21.0491819833, 356.968614896, 271250.0
10.7508538816, 63.2032425338, 273750.0
43.0535681194, 269.284866137, 276250.0
13.8834585216, 314.425059294, 278750.0
28.0861324414, 226.041823011, 281250.0
16.7272312338, 97.867225501, 283750.0
14.6555137543, 303.851084702, 286250.0
36.8733868648, 119.283014878, 288750.0
19.4399407115, 353.837381523, 291250.0
17.0236594207, 39.47696369, 293750.0
14.0303142947, 73.228203675, 296250.0
26.2835593286, 64.8245777974, 298750.0
9.89050349977, 152.103807749, 301250.0
10.8591284843, 361.116742249, 303750.0
10.6157870726, 285.76119879, 306250.0
23.7111690074, 325.092555928, 308750.0
17.5234368902, 182.768969527, 311250.0
13.6743185221, 77.8695979984, 313750.0
18.4655248113, 183.443883955, 316250.0
24.0482923878, 358.557650208, 318750.0
10.6874156854, 128.713642695, 321250.0
18.4906507836, 270.945284264, 323750.0
10.8268033213, 253.457774549, 326250.0
14.846862048, 21.4190308908, 328750.0
28.791217472, 147.338970399, 331250.0
19.1724101609, 132.902938955, 333750.0
19.788492832, 187.716118506, 336250.0
16.7034386707, 149.277887839, 338750.0
11.4732782848, 43.945836518, 341250.0
15.8977220485, 143.196025405, 343750.0
